iri,label,count,pos,rdf_type,description
<http://xmlns.com/foaf/0.1/LabelProperty>,Label Property,0,2,,A foaf:LabelProperty is any RDF property with texual values that serve as labels.
<http://xmlns.com/foaf/0.1/LabelProperty>,Label Property,0,0,,A foaf:LabelProperty is any RDF property with texual values that serve as labels.
<http://xmlns.com/foaf/0.1/Person>,Person,0,2,,A person.
<http://xmlns.com/foaf/0.1/Person>,Person,0,0,,A person.
<http://xmlns.com/foaf/0.1/Agent>,Agent,0,2,,"An agent (eg. person, group, software or physical artifact)."
<http://xmlns.com/foaf/0.1/Agent>,Agent,0,0,,"An agent (eg. person, group, software or physical artifact)."
<http://xmlns.com/foaf/0.1/Organization>,Organization,0,0,,An organization.
<http://xmlns.com/foaf/0.1/Organization>,Organization,0,2,,An organization.
<http://xmlns.com/foaf/0.1/Project>,Project,0,2,,A project (a collective endeavour of some kind).
<http://xmlns.com/foaf/0.1/Project>,Project,0,0,,A project (a collective endeavour of some kind).
<http://xmlns.com/foaf/0.1/Document>,Document,0,0,,A document.
<http://xmlns.com/foaf/0.1/Document>,Document,0,2,,A document.
<http://xmlns.com/foaf/0.1/Group>,Group,0,0,,A class of Agents.
<http://xmlns.com/foaf/0.1/Group>,Group,0,2,,A class of Agents.
<http://xmlns.com/foaf/0.1/Image>,Image,0,2,,An image.
<http://xmlns.com/foaf/0.1/Image>,Image,0,0,,An image.
<http://xmlns.com/foaf/0.1/PersonalProfileDocument>,PersonalProfileDocument,0,0,,A personal profile RDF document.
<http://xmlns.com/foaf/0.1/PersonalProfileDocument>,PersonalProfileDocument,0,2,,A personal profile RDF document.
<http://xmlns.com/foaf/0.1/OnlineAccount>,Online Account,0,2,,An online account.
<http://xmlns.com/foaf/0.1/OnlineAccount>,Online Account,0,0,,An online account.
<http://xmlns.com/foaf/0.1/OnlineGamingAccount>,Online Gaming Account,0,0,,An online gaming account.
<http://xmlns.com/foaf/0.1/OnlineGamingAccount>,Online Gaming Account,0,2,,An online gaming account.
<http://xmlns.com/foaf/0.1/OnlineEcommerceAccount>,Online E-commerce Account,0,0,,An online e-commerce account.
<http://xmlns.com/foaf/0.1/OnlineEcommerceAccount>,Online E-commerce Account,0,2,,An online e-commerce account.
<http://xmlns.com/foaf/0.1/OnlineChatAccount>,Online Chat Account,0,0,,An online chat account.
<http://xmlns.com/foaf/0.1/OnlineChatAccount>,Online Chat Account,0,2,,An online chat account.
<http://xmlns.com/foaf/0.1/mbox>,personal mailbox,0,1,,"A  personal mailbox, ie. an Internet mailbox associated with exactly one owner, the first owner of this mailbox. This is a 'static inverse functional property', in that  there is (across time and change) at most one individual that ever has any particular value for foaf:mbox."
<http://xmlns.com/foaf/0.1/mbox_sha1sum>,sha1sum of a personal mailbox URI name,0,1,,"The sha1sum of the URI of an Internet mailbox associated with exactly one owner, the  first owner of the mailbox."
<http://xmlns.com/foaf/0.1/gender>,gender,0,1,,The gender of this Agent (typically but not necessarily 'male' or 'female').
<http://xmlns.com/foaf/0.1/geekcode>,geekcode,0,1,,"A textual geekcode for this person, see http://www.geekcode.com/geek.html"
<http://xmlns.com/foaf/0.1/dnaChecksum>,DNA checksum,0,1,,A checksum for the DNA of some thing. Joke.
<http://xmlns.com/foaf/0.1/sha1>,sha1sum (hex),0,1,,"A sha1sum hash, in hex."
<http://xmlns.com/foaf/0.1/based_near>,based near,0,1,,"A location that something is based near, for some broadly human notion of near."
<http://xmlns.com/foaf/0.1/title>,title,0,1,,"Title (Mr, Mrs, Ms, Dr. etc)"
<http://xmlns.com/foaf/0.1/nick>,nickname,0,1,,"A short informal nickname characterising an agent (includes login identifiers, IRC and other chat nicknames)."
<http://xmlns.com/foaf/0.1/jabberID>,jabber ID,0,1,,A jabber ID for something.
<http://xmlns.com/foaf/0.1/aimChatID>,AIM chat ID,0,1,,An AIM chat ID
<http://xmlns.com/foaf/0.1/skypeID>,Skype ID,0,1,,A Skype ID
<http://xmlns.com/foaf/0.1/icqChatID>,ICQ chat ID,0,1,,An ICQ chat ID
<http://xmlns.com/foaf/0.1/yahooChatID>,Yahoo chat ID,0,1,,A Yahoo chat ID
<http://xmlns.com/foaf/0.1/msnChatID>,MSN chat ID,0,1,,An MSN chat ID
<http://xmlns.com/foaf/0.1/name>,name,0,1,,A name for some thing.
<http://xmlns.com/foaf/0.1/firstName>,firstName,0,1,,The first name of a person.
<http://xmlns.com/foaf/0.1/lastName>,lastName,0,1,,The last name of a person.
<http://xmlns.com/foaf/0.1/givenName>,Given name,0,1,,The given name of some person.
<http://xmlns.com/foaf/0.1/givenname>,Given name,0,1,,The given name of some person.
<http://xmlns.com/foaf/0.1/surname>,Surname,0,1,,The surname of some person.
<http://xmlns.com/foaf/0.1/family_name>,family_name,0,1,,The family name of some person.
<http://xmlns.com/foaf/0.1/familyName>,familyName,0,1,,The family name of some person.
<http://xmlns.com/foaf/0.1/phone>,phone,0,1,,"A phone,  specified using fully qualified tel: URI scheme (refs: http://www.w3.org/Addressing/schemes.html#tel)."
