iri,label,count,pos,rdf_type,description
<http://www.w3.org/2002/07/owl#Ontology>,Ontology,0,2,,The class of ontologies.
<http://www.w3.org/2002/07/owl#Ontology>,Ontology,0,0,,The class of ontologies.
<http://www.w3.org/2002/07/owl#AllDifferent>,AllDifferent,0,0,,The class of collections of pairwise different individuals.
<http://www.w3.org/2002/07/owl#AllDifferent>,AllDifferent,0,2,,The class of collections of pairwise different individuals.
<http://www.w3.org/2002/07/owl#AllDisjointClasses>,AllDisjointClasses,0,0,,The class of collections of pairwise disjoint classes.
<http://www.w3.org/2002/07/owl#AllDisjointClasses>,AllDisjointClasses,0,2,,The class of collections of pairwise disjoint classes.
<http://www.w3.org/2002/07/owl#AllDisjointProperties>,AllDisjointProperties,0,2,,The class of collections of pairwise disjoint properties.
<http://www.w3.org/2002/07/owl#AllDisjointProperties>,AllDisjointProperties,0,0,,The class of collections of pairwise disjoint properties.
<http://www.w3.org/2002/07/owl#Annotation>,Annotation,0,2,,"The class of annotated annotations for which the RDF serialization consists of an annotated subject, predicate and object."
<http://www.w3.org/2002/07/owl#Annotation>,Annotation,0,0,,"The class of annotated annotations for which the RDF serialization consists of an annotated subject, predicate and object."
<http://www.w3.org/2002/07/owl#AnnotationProperty>,AnnotationProperty,0,0,,The class of annotation properties.
<http://www.w3.org/2002/07/owl#AnnotationProperty>,AnnotationProperty,0,2,,The class of annotation properties.
<http://www.w3.org/2002/07/owl#AsymmetricProperty>,AsymmetricProperty,0,0,,The class of asymmetric properties.
<http://www.w3.org/2002/07/owl#AsymmetricProperty>,AsymmetricProperty,0,2,,The class of asymmetric properties.
<http://www.w3.org/2002/07/owl#ObjectProperty>,ObjectProperty,0,2,,The class of object properties.
<http://www.w3.org/2002/07/owl#ObjectProperty>,ObjectProperty,0,0,,The class of object properties.
<http://www.w3.org/2002/07/owl#Axiom>,Axiom,0,2,,"The class of annotated axioms for which the RDF serialization consists of an annotated subject, predicate and object."
<http://www.w3.org/2002/07/owl#Axiom>,Axiom,0,0,,"The class of annotated axioms for which the RDF serialization consists of an annotated subject, predicate and object."
<http://www.w3.org/2002/07/owl#Class>,Class,0,0,,The class of OWL classes.
<http://www.w3.org/2002/07/owl#Class>,Class,0,2,,The class of OWL classes.
<http://www.w3.org/2002/07/owl#DataRange>,DataRange,0,0,,"The class of OWL data ranges, which are special kinds of datatypes. Note: The use of the IRI owl:DataRange has been deprecated as of OWL 2. The IRI rdfs:Datatype SHOULD be used instead."
<http://www.w3.org/2002/07/owl#DataRange>,DataRange,0,2,,"The class of OWL data ranges, which are special kinds of datatypes. Note: The use of the IRI owl:DataRange has been deprecated as of OWL 2. The IRI rdfs:Datatype SHOULD be used instead."
<http://www.w3.org/2002/07/owl#DatatypeProperty>,DatatypeProperty,0,2,,The class of data properties.
<http://www.w3.org/2002/07/owl#DatatypeProperty>,DatatypeProperty,0,0,,The class of data properties.
<http://www.w3.org/2002/07/owl#DeprecatedClass>,DeprecatedClass,0,2,,The class of deprecated classes.
<http://www.w3.org/2002/07/owl#DeprecatedClass>,DeprecatedClass,0,0,,The class of deprecated classes.
<http://www.w3.org/2002/07/owl#DeprecatedProperty>,DeprecatedProperty,0,0,,The class of deprecated properties.
<http://www.w3.org/2002/07/owl#DeprecatedProperty>,DeprecatedProperty,0,2,,The class of deprecated properties.
<http://www.w3.org/2002/07/owl#FunctionalProperty>,FunctionalProperty,0,0,,The class of functional properties.
<http://www.w3.org/2002/07/owl#FunctionalProperty>,FunctionalProperty,0,2,,The class of functional properties.
<http://www.w3.org/2002/07/owl#InverseFunctionalProperty>,InverseFunctionalProperty,0,2,,The class of inverse-functional properties.
<http://www.w3.org/2002/07/owl#InverseFunctionalProperty>,InverseFunctionalProperty,0,0,,The class of inverse-functional properties.
<http://www.w3.org/2002/07/owl#IrreflexiveProperty>,IrreflexiveProperty,0,2,,The class of irreflexive properties.
<http://www.w3.org/2002/07/owl#IrreflexiveProperty>,IrreflexiveProperty,0,0,,The class of irreflexive properties.
<http://www.w3.org/2002/07/owl#NamedIndividual>,NamedIndividual,0,0,,The class of named individuals.
<http://www.w3.org/2002/07/owl#NamedIndividual>,NamedIndividual,0,2,,The class of named individuals.
<http://www.w3.org/2002/07/owl#NegativePropertyAssertion>,NegativePropertyAssertion,0,0,,The class of negative property assertions.
<http://www.w3.org/2002/07/owl#NegativePropertyAssertion>,NegativePropertyAssertion,0,2,,The class of negative property assertions.
<http://www.w3.org/2002/07/owl#OntologyProperty>,OntologyProperty,0,2,,The class of ontology properties.
<http://www.w3.org/2002/07/owl#OntologyProperty>,OntologyProperty,0,0,,The class of ontology properties.
<http://www.w3.org/2002/07/owl#ReflexiveProperty>,ReflexiveProperty,0,2,,The class of reflexive properties.
<http://www.w3.org/2002/07/owl#ReflexiveProperty>,ReflexiveProperty,0,0,,The class of reflexive properties.
<http://www.w3.org/2002/07/owl#Restriction>,Restriction,0,0,,The class of property restrictions.
<http://www.w3.org/2002/07/owl#Restriction>,Restriction,0,2,,The class of property restrictions.
<http://www.w3.org/2002/07/owl#SymmetricProperty>,SymmetricProperty,0,0,,The class of symmetric properties.
<http://www.w3.org/2002/07/owl#SymmetricProperty>,SymmetricProperty,0,2,,The class of symmetric properties.
<http://www.w3.org/2002/07/owl#TransitiveProperty>,TransitiveProperty,0,2,,The class of transitive properties.
<http://www.w3.org/2002/07/owl#TransitiveProperty>,TransitiveProperty,0,0,,The class of transitive properties.
<http://www.w3.org/2002/07/owl#allValuesFrom>,allValuesFrom,0,1,,The property that determines the class that a universal property restriction refers to.
<http://www.w3.org/2002/07/owl#annotatedProperty>,annotatedProperty,0,1,,The property that determines the predicate of an annotated axiom or annotated annotation.
<http://www.w3.org/2002/07/owl#annotatedSource>,annotatedSource,0,1,,The property that determines the subject of an annotated axiom or annotated annotation.
<http://www.w3.org/2002/07/owl#annotatedTarget>,annotatedTarget,0,1,,The property that determines the object of an annotated axiom or annotated annotation.
<http://www.w3.org/2002/07/owl#assertionProperty>,assertionProperty,0,1,,The property that determines the predicate of a negative property assertion.
<http://www.w3.org/2002/07/owl#cardinality>,cardinality,0,1,,The property that determines the cardinality of an exact cardinality restriction.
<http://www.w3.org/2002/07/owl#complementOf>,complementOf,0,1,,The property that determines that a given class is the complement of another class.
<http://www.w3.org/2002/07/owl#datatypeComplementOf>,datatypeComplementOf,0,1,,The property that determines that a given data range is the complement of another data range with respect to the data domain.
<http://www.w3.org/2002/07/owl#differentFrom>,differentFrom,0,1,,The property that determines that two given individuals are different.
<http://www.w3.org/2002/07/owl#disjointUnionOf>,disjointUnionOf,0,1,,The property that determines that a given class is equivalent to the disjoint union of a collection of other classes.
<http://www.w3.org/2002/07/owl#disjointWith>,disjointWith,0,1,,The property that determines that two given classes are disjoint.
<http://www.w3.org/2002/07/owl#distinctMembers>,distinctMembers,0,1,,The property that determines the collection of pairwise different individuals in a owl:AllDifferent axiom.
<http://www.w3.org/2002/07/owl#equivalentClass>,equivalentClass,0,1,,"The property that determines that two given classes are equivalent, and that is used to specify datatype definitions."
<http://www.w3.org/2002/07/owl#equivalentProperty>,equivalentProperty,0,1,,The property that determines that two given properties are equivalent.
<http://www.w3.org/2002/07/owl#hasKey>,hasKey,0,1,,The property that determines the collection of properties that jointly build a key.
<http://www.w3.org/2002/07/owl#hasSelf>,hasSelf,0,1,,The property that determines the property that a self restriction refers to.
<http://www.w3.org/2002/07/owl#hasValue>,hasValue,0,1,,The property that determines the individual that a has-value restriction refers to.
<http://www.w3.org/2002/07/owl#intersectionOf>,intersectionOf,0,1,,The property that determines the collection of classes or data ranges that build an intersection.
<http://www.w3.org/2002/07/owl#inverseOf>,inverseOf,0,1,,The property that determines that two given properties are inverse.
<http://www.w3.org/2002/07/owl#maxCardinality>,maxCardinality,0,1,,The property that determines the cardinality of a maximum cardinality restriction.
<http://www.w3.org/2002/07/owl#maxQualifiedCardinality>,maxQualifiedCardinality,0,1,,The property that determines the cardinality of a maximum qualified cardinality restriction.
