?iri	?label	?count	?pos	?type	?description
<http://www.w3.org/2000/01/rdf-schema#Resource>	"Resource"	0	2		"The class resource, everything."
<http://www.w3.org/2000/01/rdf-schema#Resource>	"Resource"	0	0		"The class resource, everything."
<http://www.w3.org/2000/01/rdf-schema#Class>	"Class"	0	2		"The class of classes."
<http://www.w3.org/2000/01/rdf-schema#Class>	"Class"	0	0		"The class of classes."
<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>	"isDefinedBy"	0	1		"The defininition of the subject resource."
<http://www.w3.org/2000/01/rdf-schema#label>	"label"	0	1		"A human-readable name for the subject."
<http://www.w3.org/2000/01/rdf-schema#comment>	"comment"	0	1		"A description of the subject resource."
<http://www.w3.org/2000/01/rdf-schema#subClassOf>	"subClassOf"	0	1		"The subject is a subclass of a class."
<http://www.w3.org/2000/01/rdf-schema#range>	"range"	0	1		"A range of the subject property."
<http://www.w3.org/2000/01/rdf-schema#domain>	"domain"	0	1		"A domain of the subject property."
<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	"subPropertyOf"	0	1		"The subject is a subproperty of a property."
<http://www.w3.org/2000/01/rdf-schema#Literal>	"Literal"	0	2		"The class of literal values, eg. textual strings and integers."
<http://www.w3.org/2000/01/rdf-schema#Literal>	"Literal"	0	0		"The class of literal values, eg. textual strings and integers."
<http://www.w3.org/2000/01/rdf-schema#seeAlso>	"seeAlso"	0	1		"Further information about the subject resource."
<http://www.w3.org/2000/01/rdf-schema#Container>	"Container"	0	2		"The class of RDF containers."
<http://www.w3.org/2000/01/rdf-schema#Container>	"Container"	0	0		"The class of RDF containers."
<http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty>	"ContainerMembershipProperty"	0	2		"The class of container membership properties, rdf:_1, rdf:_2, ...,\n                    all of which are sub-properties of 'member'."
<http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty>	"ContainerMembershipProperty"	0	0		"The class of container membership properties, rdf:_1, rdf:_2, ...,\n                    all of which are sub-properties of 'member'."
<http://www.w3.org/2000/01/rdf-schema#member>	"member"	0	1		"A member of the subject resource."
<http://www.w3.org/2000/01/rdf-schema#Datatype>	"Datatype"	0	2		"The class of RDF datatypes."
<http://www.w3.org/2000/01/rdf-schema#Datatype>	"Datatype"	0	0		"The class of RDF datatypes."
